Journal name,JCR Abbreviation,2025 JIF,2024 JIF,5 Year JIF,5 Year JIF Quartile,JIF Without Self Cites,Immediacy Index,Total Articles,Total Citations,Category
BLOOD,BLOOD,23.9,23.1,20,Q1,22.7,4.6,450,168805,HEMATOLOGY
EUROPEAN RESPIRATORY JOURNAL,EUR RESPIR J,23.8,21,18.3,Q1,22.7,6.3,112,55083,RESPIRATORY SYSTEM
ADVANCES IN COLLOID AND INTERFACE SCIENCE,ADV COLLOID INTERFAC,23.7,19.3,23.1,Q1,23.3,5.1,245,36856,"CHEMISTRY, PHYSICAL"
JAMA Neurology,JAMA NEUROL,23.6,21.3,24,Q1,23.2,5.4,103,26720,CLINICAL NEUROLOGY
Bioactive Materials,BIOACT MATER,23.6,20.3,22.2,Q1,22.7,6.4,448,43995,"ENGINEERING, BIOMEDICAL|MATERIALS SCIENCE, BIOMATERIALS"
Computers and Education: Artificial Intelligence,COMPUT EDUC-ARTIF IN,23.4,NA,N/A,N/A,21.9,3.1,155,7468,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE|COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS|EDUCATION & EDUCATIONAL RESEARCH"
Journal of Thoracic Oncology,J THORAC ONCOL,23.3,20.8,22.3,Q1,22.3,8.1,101,29690,ONCOLOGY|RESPIRATORY SYSTEM
Cell Stem Cell,CELL STEM CELL,23.3,20.4,24.4,Q1,22.6,6.7,98,33534,CELL & TISSUE ENGINEERING|CELL BIOLOGY
Cell Host & Microbe,CELL HOST MICROBE,23.2,18.7,22.2,Q1,22.9,3.9,114,36971,MICROBIOLOGY|PARASITOLOGY|VIROLOGY
Responsive Materials,RESPONSIVE MATER,22.9,NA,22.9,Q1,20,5.2,9,1246,"CHEMISTRY, MULTIDISCIPLINARY|MATERIALS SCIENCE, MULTIDISCIPLINARY"
NATURE CELL BIOLOGY,NAT CELL BIOL,22.7,19.1,23,Q1,22.5,4.1,145,50742,CELL BIOLOGY
Nano Research Energy,NANO RES ENERGY,22.6,NA,21.7,Q1,21.7,4.8,46,2652,ENERGY & FUELS|NANOSCIENCE & NANOTECHNOLOGY
Advanced Fiber Materials,ADV FIBER MATER,22.6,21.3,19.5,Q1,21.6,4.4,112,9305,"MATERIALS SCIENCE, MULTIDISCIPLINARY|MATERIALS SCIENCE, TEXTILES"
Nature Synthesis,NAT SYNTH,22.6,20,23.7,Q1,22.2,6.6,164,9321,"CHEMISTRY, MULTIDISCIPLINARY"
DIABETES CARE,DIABETES CARE,22.6,16.6,16.7,Q1,21.9,12,204,82731,ENDOCRINOLOGY & METABOLISM
CANCER RESEARCH,CANCER RES,22.6,16.6,15.7,Q1,22.4,5,272,119428,ONCOLOGY
Interdisciplinary Materials,INTERD MATER,22.5,31.6,22.9,Q1,22.3,3,25,3176,"CHEMISTRY, PHYSICAL|MATERIALS SCIENCE, MULTIDISCIPLINARY|PHYSICS, APPLIED"
Annual Review of Marine Science,ANNU REV MAR SCI,22.5,18.9,21.9,Q1,22.4,5.6,0,8150,GEOCHEMISTRY & GEOPHYSICS|MARINE & FRESHWATER BIOLOGY|OCEANOGRAPHY
Lancet Global Health,LANCET GLOB HEALTH,22.5,18,25.4,Q1,22.2,4.6,155,31059,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH"
Opto-Electronic Advances,OPTO-ELECTRON ADV,22.4,22.4,15.4,Q1,21.6,9.6,48,4332,OPTICS
JACC-Journal of the American College of Cardiology,J AM COLL CARDIOL,22.3,NA,25.6,Q1,21.6,10.7,235,124430,CARDIAC & CARDIOVASCULAR SYSTEMS
Nature Reviews Psychology,NAT REV PSYCHOL,22,21.8,26.1,Q1,21.7,3.2,10,4045,"PSYCHOLOGY, MULTIDISCIPLINARY"
DRUG RESISTANCE UPDATES,DRUG RESIST UPDATE,22,21.7,23,Q1,21.3,3.4,93,9360,PHARMACOLOGY & PHARMACY
INTENSIVE CARE MEDICINE,INTENS CARE MED,22,21.2,26.7,Q1,20,5.9,98,34080,CRITICAL CARE MEDICINE
Lancet Microbe,LANCET MICROBE,21.9,20.4,20.1,Q1,21.5,7.7,95,8267,INFECTIOUS DISEASES|MICROBIOLOGY
KIDNEY INTERNATIONAL,KIDNEY INT,21.8,12.6,18,Q1,21.2,6,107,52229,UROLOGY & NEPHROLOGY
Clinical and Molecular Hepatology,CLIN MOL HEPATOL,21.7,16.9,15.7,Q1,20.3,11.5,52,6351,GASTROENTEROLOGY & HEPATOLOGY
Journal of Extracellular Vesicles,J EXTRACELL VESICLES,21.7,14.5,20.7,Q1,20.9,2.5,160,19056,CELL BIOLOGY
